"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Tests for login","4","0","","0"
"0","","0","Tests for checkout","5","0","","0"
"0","","0","Sort functionality","1","0","","0"
"0","","0","E2E test for purchase","1","0","","0"
